Group|Table Name|Field Name|Description|Value|Used|Configuration Value|Memo
AccRec|Invoice|ClaimState|Suspended|12.0|Yes||
AccRec|Invoice|ClaimState|Promise to pay|12.1|Yes||
AccRec|Invoice|ClaimState|Termination email sent|13.0|Yes||
AccRec|Invoice|ClaimState|Terminated|14.0|Yes||
AccRec|Invoice|ClaimState|2. SMS reminder|2.0|Yes||
AccRec|Invoice|ClaimState|3. SMS reminder|3.0|Yes||
AccRec|Invoice|ClaimState|Listed to Debt collection|4.0|No ||
AccRec|Invoice|ClaimState|Transferred to Debt collection|5.0|No ||
AccRec|Invoice|DCState|Not claimed||Yes||
AccRec|Invoice|DCState|Transferred to Debt collection|I|Yes||
AccRec|Invoice|DCState|Listed to Debt collection|L|Yes||
AccRec|Invoice|DCState|1. Reminder sent|R1|Yes||
AccRec|Invoice|DCState|1. Reminder copy sent|R2|Yes||
AccRec|Invoice|DCState|2. Reminder sent|R3|Yes||
AccRec|Invoice|DCState|2. Reminder copy sent|R4|Yes||
Billing|Invoice|DDState|Undelivered|0|No ||
Billing|Invoice|DDState|Delivered|1|No ||
Billing|Invoice|DDState|Cancelled|2|No ||
Billing|Invoice|DelType|Not defined|0|No ||
Billing|Invoice|DelType|Printed invoice|1|Yes|CUSTOMER:PRINTINV|1,5
Billing|Invoice|DelType|Do not send invoice by post|10|No ||1,5
Billing|Invoice|DelType|EMail|2|Yes||1,5
Billing|Invoice|DelType|Direct Invoice|3|No ||1
Billing|Invoice|DelType|EInvoice|4|Yes||1,5
Billing|Invoice|DelType|SelfService|5|Yes||1,5
Billing|Invoice|DelType|Finvoice|6|Yes||
Billing|Invoice|Deltype|Direct Payment|7|Yes|CUSTOMER:DPAYMINVDEL|
Billing|Invoice|DelType|Archive|8|Yes||
Billing|Invoice|DelType|Not Defined|98|No ||
Billing|Invoice|DelType|Test file|99|No ||
Billing|Invoice|EndInvType|No closing invoice created|0|Yes||
Billing|Invoice|EndInvType|Closing invoice due to termination (normal)|1|Yes||
Billing|Invoice|EndInvType|Closing invoice creation failed, no events (norm)|2|Yes||
Billing|Invoice|EndInvType|Closing invoice due to debt|3|Yes||
Billing|Invoice|EndInvType|Closing invoice creation failed, no events (debt)|4|Yes||
Report|Invoice|ExtCrlState|Not set|0|Yes||
Report|Invoice|ExtCrlState|Sold|1|Yes||
Report|Invoice|ExtCrlState|Outdated|2|Yes||
Report|Invoice|ExtCrlState|Other|3|Yes||
Report|Invoice|ExtCrlState|Debt adjustment|4|Yes||
Report|Invoice|ExtCrlState|Fraud|5|Yes||
Billing|Invoice|IgnoreMin|User gave permission|1|Yes||
Billing|Invoice|IgnoreMin|Overpayment or advance payment used|2|Yes||
Billing|Invoice|IgnoreMin|Credit loss posting|3|Yes||
Billing|Invoice|IgnoreMin|Enough periods skipped already|4|Yes||
Report|Invoice|InvType|Scheduled invoice|1|Yes||
Report|Invoice|InvType|Credit for adv.payment invoice|10|No ||
Report|Invoice|InvType|Credit for deposit inv.|11|No ||
Report|Invoice|InvType|Prepaid invoice|12|No ||
Report|Invoice|InvType|Credit for prepaid invoice|13|No ||
Report|Invoice|InvType|Part payment invoice|15|Yes||
Report|Invoice|InvType|Credit note to part payment invoice|16|Yes||
Report|Invoice|InvType|Interest invoice|2|No ||
Report|Invoice|InvType|Commission invoice|20|Yes||
Report|Invoice|InvType|Subvention invoice|21|Yes||
Report|Invoice|InvType|Credit note to Commission invoice|22|Yes||
Report|Invoice|InvType|Credit not to Subvention invoice|23|Yes||
Report|Invoice|InvType|Deposit invoice|3|No ||
Report|Invoice|InvType|Advance payment invoice|4|No ||
Report|Invoice|InvType|Credit note to scheduled invoice|5|Yes||
Report|Invoice|InvType|Cash Invoice|6|No ||
Report|Invoice|InvType|Migrated/dummy invoice|69|No ||
Report|Invoice|InvType|Cash Receipt|7|No ||
Report|Invoice|InvType|Credit for cash invoice|8|No ||
Report|Invoice|InvType|Credit for cash receipt|9|No ||
Report|Invoice|InvType|Test Invoice|99|Yes||
AccRec|Invoice|PaymState|Unpaid|0|Yes||
AccRec|Invoice|PaymState|Partly paid|1|Yes||
AccRec|Invoice|PaymState|Paid|2|Yes||
AccRec|Invoice|PaymState|Credit loss|3|Yes||
AccRec|Invoice|PaymState|Payment plan|4|Yes||
AccRec|Invoice|PaymState|EPayment|5|Yes||
Report|Invoice|PrintState|Undelivered|0|Yes||
Report|Invoice|PrintState|Delivered|1|Yes||
Report|Invoice|PrintState|Printed locally|2|Yes||
Report|Invoice|PrintState|Printed both to Printing house and locally|3|Yes||
Report|Invoice|PrintState|XML-file formed|4|Yes||
Report|Invoice|PrintState|PDF-file formed|5|Yes||
Report|Invoice|PrintState|PDF sent to customer via eMail|6|Yes||
Billing|Invoice|RemFee|Reminder fee|B2C|Yes|CUSTOMER:OTCREMFEEDC|
Billing|Invoice|SpecDel|Not sent|0|Yes||
Billing|Invoice|SpecDel|Send to print house|1|Yes||
Billing|Invoice|SpecDel|Send via eMail (Not in Use)|2|Yes||
Billing|Invoice|VATUsage|Domestic sales|1|Yes||
Billing|Invoice|VATUsage|Intra-Community supply (consumer)|2|Yes||
Billing|Invoice|VATUsage|VAT 0% Intra-Community supply (Reverse charge)|3|Yes||
Billing|Invoice|VATUsage|VAT 0% Supply outside the Community|4|Yes||
Billing|InvoiceTarget|HostTable|Customer contract|CustPerContract|Yes||
Billing|InvoiceTarget|HostTable|Subscription|MobSub|Yes||
Invoice|InvRow|RowType|CDR, starting charge|1|Yes||
Invoice|InvRow|RowType|Commission|10|Yes||
Invoice|InvRow|RowType|Subvention|11|Yes||
Invoice|InvRow|RowType|Interest event|12|Yes||
Invoice|InvRow|RowType|Mobile CDR|2|Yes||
Invoice|InvRow|RowType|Fixed Fee|3|Yes||
Invoice|InvRow|RowType|Single Fee|4|Yes||
Invoice|InvRow|RowType|Minimum billing amount|5|Yes||
Invoice|InvRow|RowType|CDR, event type charge e.g MCF|6|Yes||
Invoice|InvRow|RowType|FATime|7|Yes||
Invoice|InvRow|RowType|CDR, service charge|8|Yes||
Invoice|InvRow|RowType|Discount|9|Yes||
Printing|InvText|AddrTarget|Customer|1|Yes||
Printing|InvText|AddrTarget|Invoice delivery (not in use)|2|Yes||
Printing|InvText|AddrTarget|User|3|Yes||
Printing|InvText|AddrTarget|Agreement customer|4|Yes||
Printing|InvText|AddrTarget|Invoice customer|5|Yes||
CustCare|InvText|InfoType|Cover Sheet|CS|Yes||
CustCare|InvText|InfoType|Information|I|Yes||
CustCare|InvText|InfoType|Marketing|M|Yes||
CustCare|InvText|InfoType|System letter|SYS|Yes||
EKIRJE|InvText|KeyValue|EKIRJE|CLimit|Yes||
EMAIL|InvText|Keyvalue|Subscription termination due to debt|DebtTermination|Yes||
EKIRJE|InvText|KeyValue|EKIRJE|EKIRJE|Yes||
EMAIL|InvText|Keyvalue|Part payment termination due to debt|PPTermination|Yes||
EMAIL|invtext|keyvalue|Reminder|REMINDER|Yes||
EKIRJE|InvText|KeyValue|SMSC Change|SMSC|Yes||
Report|ITSendLog|RepType|Call itemization|CallSpec|Yes||
Report|ITSendLog|RepType|Call itemization bulk print|CallSpecBulk|Yes||
Report|ITSendLog|RepType|Email|EMail|Yes||
Report|ITSendLog|RepType|XML to Intrum AR|IntrumXML|Yes||
Report|ITSendLog|RepType|Invoice's Call Specification|InvSpec|Yes||
Report|ITSendLog|RepType|Information Text|IT|Yes||
Report|ITSendLog|RepType|Invoice to printhouse|PrintHouse|Yes||
Report|ITSendLog|RepType|SMS info|SMS|Yes||
Limit|Limit|Billing Permission|Allowed|0|Yes||
Limit|Limit|Billing Permission|Suspended|1|Yes||
Limit|Limit|Billing Permission|Prohibited|2|Yes||
TMR|Limit|LimitType|TMRLimit|1|Yes||
TMR|Limit|LimitType|SubQty|2|Yes||
TMR|Limit|LimitType|Billing Permission|3|Yes||
MXName|MATRIX|MXName|Customer ID|ID|Yes||
MXName|MAtrix|MXNAme|Module Name|Module|Yes||
MXName|Matrix|MXName||PerContract|Yes||
MXName|MATRIX|MXName|Current Subscription Type|SubsTypeFrom|Yes||
MXName|MATRIX|MXName|Subscription group from|SubsTypeGroupFrom|Yes||
MXNAME|MATRIX|MXName|Subscription group To|SubsTypeGroupTo|Yes||
MXName|MATRIX|MXName|New Subscription Type|SubsTypeTo|Yes||
MXRes|MATRIX|MXRes|DENIED|0|Yes||
MXRes|MATRIX|MXRes|ALLOWED|1|Yes||
MemoType|Memotype|memotype|All memos|*|Yes||
memotype|Memotype|memotype|.|CreditC|Yes||
MemoType|Memotype|MEmotype|Customer memos|Customer|Yes||
Memotype|Memotype|MemoType|Invoice memos|Invoice|Yes||
MemoType|Memotype|MeMotype|Subscription memos|MobSub|Yes||
Memotype|Memotype|memotype|Request memos|MSRequest|Yes||
MessageCategory|MobCDR|OrigRecordType|Yleishy�dylliset palvelut|1|Yes||
MessageCategory|MobCDR|OrigRecordType|Asiointipalvelut|2|Yes||
MessageCategory|Mobcdr|OrigRecordType|Ajanvietopalvelut|3|Yes||
MessageCategory|MobCDR|OrigRecordType|Muut palvelut|4|Yes||
MNPChannel|Mobsub|MNPChannel|NEW|0|Yes||
MNPChannel|Mobsub|MNPChannel|WEB|1|Yes||
MNPChannel|Mobsub|MNPChannel|M2M|2|Yes||
MobileStatus|mobsub|ms-status|UNDEFINED|0|Yes||
MobileStatus|mobsub|ms-status|ONLY MSISDN set (no IMSI/ICC)|1|Yes||
MobileStatus|mobsub|ms-status|WAIT POST INFO|10|Yes||
MobileStatus|mobsub|ms-status|MNP - NOT NPO|11|Yes||
MobileStatus|mobsub|ms-status|MNP - NPO|12|Yes||
MobileStatus|mobsub|ms-status|MNP - NPOC|13|Yes||
MobileStatus|mobsub|ms-status|MNP - REJECTED|14|Yes||
MobileStatus|mobsub|ms-status|ACTIVATION ONGOING|2|Yes||
MobileStatus|mobsub|ms-status|ACTIVATION FAILED|3|Yes||
MobileStatus|mobsub|ms-status|ACTIVATED IN HLR|4|Yes||
MobileStatus|mobsub|ms-status||5|Yes||
MobileStatus|mobsub|ms-status||6|Yes||
MobileStatus|mobsub|ms-status|BARRED DUE TO SALDO|7|Yes||
MobileStatus|mobsub|ms-status|BARRED TEMPORARILY|8|Yes||
MobileStatus|mobsub|ms-status|BARRED DUE TO CONTROL|9|Yes||
Parent|Mobsub|ParentCode|NOT Extra Sim Card|0|Yes||
Parent|MobSub|ParentCode|Primary SIM|1|Yes||
Parent|Mobsub|ParentCode|Slave Sim|2|Yes||
Report|Mobsub|RepCodes|Itemized Invoice|3|Yes||
Report|Mobsub|RepCodes|Itemized list of calls|4|Yes||
RenewalOffer|MobSub|SegmentOffer|Renewal Segment Offer A|OFA|Yes||
RenewalOffer|MobSub|SegmentOffer|Renewal Segment Offer B|OFB|Yes||
RenewalOffer|MobSub|SegmentOffer|Renewal Segment Offer C|OFC|Yes||
RenewalOffer|MobSub|SegmentOffer|Renewal Segment Offer D|OFD|Yes||
RenewalOffer|MobSub|SegmentOffer|Renewal Segment Offer E|OFE|Yes||
RenewalOffer|MobSub|SegmentOffer|Renewal Segment Offer F|OFF|Yes||
MsRequest|MsReqStat|ReqFunc|No functions|0|Yes||
MsRequest|MsReqStat|ReqFunc|Cancel request (set status to 4)|1|Yes||
MsRequest|MsReqStat|ReqFunc|Reset request (set status to 0)|2|Yes||
MsRequest|MsReqStat|ReqFunc|Handle request (set status to 9)|3|Yes||
MsRequest|MsReqStat|ReqFunc|Reset request and bypass network(set status to 6)|4|Yes||
MsRequest|MsReqStat|ReqFunc|Approve request (set status to 15)|5|Yes||
Request|MsRequest|Error|No service limits created|8,1|Yes|Cancel|
Request|MsRequest|Error|No active contract was found|8,2|Yes|Cancel|
Request|MsRequest|Error|Periodical contract is not valid|8,3|Yes|Cancel|
Request|MsRequest|Error|Per.contract is already active on subscription|8,4|Yes|Cancel|
Request|MsRequest|Error|Per.contract instance with given ID already exists|8,5|Yes||
Request|MsRequest|ReqSource|Subscription creation|1|Yes||
Request|MsRequest|ReqSource|Prepaid life cycle cdr|10|Yes||
Request|MsRequest|ReqSource|CC Tool|11|No ||
Request|MsRequest|ReqSource|Preactivated Prepaid ACC|12|No ||
Request|MsRequest|ReqSource|FRONT|13|No ||
Request|MsRequest|ReqSource|Order Cancellation|14|Yes||
Request|MsRequest|ReqSource|External API|15|Yes||
Request|MsRequest|ReqSource|Subscription type change|2|Yes||
Request|MsRequest|ReqSource|Subscription termination|3|Yes||
Request|MsRequest|ReqSource|Manual event (CCBS)|4|Yes||
Request|MsRequest|ReqSource|Automatic (cron/script)|5|Yes||
Request|MsRequest|ReqSource|Debt collection|6|Yes||
Request|MsRequest|ReqSource|Credit limit|7|Yes||
Request|Msrequest|ReqSource|Activation/Deactivation|8|Yes||
Request|MsRequest|ReqSource|ICC/UCC|9|Yes||
Request|MsRequest|ReqStatus|New|0|Yes||
Request|MsRequest|ReqStatus|Under work|1|Yes||
Request|MsRequest|ReqStatus|Approved for handling|15|Yes||
Request|MsRequest|ReqStatus|Pending file creation|16|Yes||
Request|MSrequest|ReqStatus|File created|17|Yes||
Request|MSRequest|ReqStatus|Waiting for confirmation|19|Yes||
Request|MsRequest|ReqStatus|Done|2|Yes||
Request|MsRequest|ReqStatus|Rejected (error occurred)|3|Yes||
Request|MsRequest|ReqStatus|Cancelled|4|Yes||
Request|MSrequest|ReqStatus|Pending external handling|5|Yes||
Request|MsRequest|ReqStatus|External handling done|6|Yes||
Request|MsRequest|ReqStatus|Pending Sub-request|7|Yes||
Request|MsRequest|Reqstatus|Sub-request DONE|8|Yes||
Request|MsRequest|ReqStatus|Handled|9|Yes||
Request|MsRequest|ReqStatus|Process error (SNS maintenance required)|99|Yes||
Request|MsRequest|ReqStatusX|Contract letter printed|11|Yes||
Request|MsRequest|ReqStatusX|Confirmed/Contract letter returned|12|Yes||
Request|MsRequest|ReqStatusX|VRK and/or SAT failed|13|Yes||
Request|MsRequest|ReqStatusX|Advance payment invoice sent|14|Yes||
Request|MsRequest|ReqType|Subscription type change|0|Yes|MsReq|
Request|MsRequest|ReqType|Service Change|1|Yes|ScReq|
Request|MsRequest|ReqType|Agreement Customer Change|10|Yes|OwReq|
Request|MsRequest|ReqType|Payment Plan|11|Yes|PlReq|
Request|MsRequest|ReqType|Marketing Values|12|Yes|MaReq|
Request|MsRequest|ReqType|Subscription creation|13|Yes|CrReq|
Request|MsRequest|ReqType|SIM Change|15|Yes|ICCReq|
Request|MsRequest|ReqType|Terminate Subscription|18|Yes|DelReq|
Request|MsRequest|ReqType|MSISDN Change|19|Yes|MSISDNReq|
Request|MsRequest|ReqType|Saldo Payment|2|Yes|SpReq|
Request|MsRequest|ReqType|On Demand Invoice|20|Yes|ODIReq|
Request|MsRequest|ReqType|Credit Note|22|Yes||
Request|MsRequest|ReqType|Refund|23|Yes||
Request|MsRequest|ReqType|Bank Account number change|24|Yes||
Request|MsRequest|ReqType|Feemodel price change|27|Yes|fmprice|
Request|MsRequest|ReqType|Price guarantee|28|Yes|PGRequest|
Request|MsRequest|ReqType|User Change|3|Yes|UcReq|
Request|MsRequest|ReqType|Payment|31|Yes||
Request|MsRequest|ReqType|Bank reference|32|Yes||
Request|MSrequest|ReqType|Credit check|33|Yes||
Request|MSrequest|ReqType|Manual payment|34|Yes||
Request|MsRequest|ReqType|Barring and suspension request|35|Yes||
Request|MSRequest|ReqType|SMS|37|Yes||
Request|MsRequest|ReqType|Invoice Customer Change|4|Yes|IcReq|
Request|MsRequest|ReqType|User Account|5|Yes|UaReq|
Request|MsRequest|ReqType|Debt level|52|Yes||
Request|MsRequest|ReqType|Address Change|6|Yes|AdReq|
Request|MsRequest|ReqType|Per. Contract PIN|7|Yes|PpReq|
Request|MsRequest|ReqType|Per. Contract Activation|8|Yes|PaReq|
Request|MsRequest|ReqType|Per. Contract Termination|9|Yes|PtReq|
Request|MsRequest|TermReason|Customer|1|Yes||
Request|MsRequest|TermReason|Risk Fraud|10|Yes||
Orders|MsRequest|TermReason|POS Orders Cancellation|11|Yes||
Request|MsRequest|TermReason|Order cancellation, deactivate all|13|Yes||
Request|MsRequest|TermReason|Order cancellation, deactivate all except device|14|Yes||
Request|MsRequest|TermReason|Order terminated by CSP, deactivate all|15|Yes||
Request|MsRequest|TermReason|Order terminated by CSP, deact. all except device|16|Yes||
Request|MsRequest|TermReason|Device order cancellation|17|Yes||
Request|MsRequest|TermReason|Accelerated termination of device contract|18|Yes||
Request|MsRequest|TermReason|Device return based on agreement with CSP|19|Yes||
Request|MsRequest|TermReason|MNP outporting|2|Yes||
Request|MsRequest|TermReason|Device contract termination by CSP, deact. charges|20|Yes||
Request|MsRequest|TermReason|Device contract termination by CSP with charges|21|Yes||
Request|MsRequest|TermReason|Order terminated by CSP|22|Yes||
Request|MsRequest|TermReason|Contract fully paid|23|Yes||
Request|MsRequest|TermReason|Experiment period cancel, deact. all|24|Yes||
Request|MsRequest|TermReason|Experiment period cancel, deact. device|25|Yes||
Request|MsRequest|TermReason|SalesPerson cancelled device contract, deact. device|26|Yes||
Request|MsRequest|TermReason|Deactivate device, not subscription|27|Yes||
Request|MsRequest|TermReason|Device contract termination by OM|28|Yes||
Request|MsRequest|TermReason|Debt collection|4|Yes||
Request|MsRequest|TermReason|Other reason (ADMIN users)|5|Yes||
ReqCron|MsRequest|TermReason|Prepaid life cycle deletion|6|Yes||
ReqCron|MsRequest|TermReason|Subscription maintenance|7|Yes||
ReqCron|MsRequest|TermReason|Bad customer deletion|8|Yes||
Request|MsRequest|TermReason|Risk Collection|9|Yes||
Offer|OfferCriteria|CriteriaType|Subscription type|CLIType|Yes||
Offer|OfferCriteria|CriteriaType|Type of subscription MSISDN|NumberType|Yes||
Offer|OfferCriteria|CriteriaType|Old payment type of subscription|OldPayType|Yes||
Offer|OfferCriteria|CriteriaType|Channel in which order was made|OrderChannel|Yes||
Offer|OfferCriteria|CriteriaType|Payment type of subscription|PayType|Yes||
Offer|OfferCriteria|CriteriaType|Segmentation allowed in Renewal|RenewalSegment|Yes||
Offer|OfferItem|ItemType|Billing item|BillItem|Yes||
Offer|OfferItem|ItemType|Bundle Item|BundleItem|Yes||
Offer|OfferItem|ItemType|FATime group|FATime|Yes||
Offer|OfferItem|ItemType|Optional Bundle Item|OptionalBundleItem|Yes||
Offer|OfferItem|ItemType|Periodical contract|PerContract|Yes||
Offer|OfferItem|ItemType|Service Package|ServicePackage|Yes||
Offer|OfferItem|ItemType|Topup scheme|Topup|Yes||
AR|OPLog|EventType|Overpayment|1|Yes||
AR|OPLog|EventType|Advance Payment|10|Yes||
AR|OPLog|EventType|Deducted Adv.payment on a new invoice|11|Yes||
AR|OPLog|EventType|Adv.payment used as payment into an invoice|12|Yes||
AR|OPLog|EventType|Deposit|13|Yes||
AR|OPLog|EventType|Deposit used as payment into an invoice|14|Yes||
AR|OPLog|EventType|Deleted payment with advance payment|15|Yes||
AR|OPLog|EventType|Deleted payment with deposit|16|Yes||
AR|OPLog|EventType|Deposit transferred to subsc.customer|17|Yes||
AR|OPLog|EventType|Return of deposit|18|Yes||
AR|OPLog|EventType|Return of advance payment|19|Yes||
AR|OPLog|EventType|Extra payment for an already paid invoice|2|Yes||
AR|OPLog|EventType|Adv.payment transferred to subsc.customer|20|Yes||
AR|OPLog|EventType|Add subscription balance limit|21|Yes||
AR|OPLog|EventType|Adv.payment transferred from FAT|22|Yes||
AR|OPLog|EventType|TopUp balance cancelled|23|Yes||
AR|OPLog|EventType|MSISDN change: deposit move|24|Yes||
AR|OPLog|EventType|MSISDN change: overpayment move|25|Yes||
AR|OPLog|EventType|MSISDN change: adv.payment move|26|Yes||
AR|OPLog|EventType|Refund balance|27|Yes||
AR|OPLog|EventType|MSISDN change: refund balance move|28|Yes||
AR|OPLog|EventType|Deducted OP through a credit note|29|Yes||
AR|OPLog|EventType|Deducted OP on a new invoice|3|Yes||
AR|OPLog|EventType|Converted from contract overpayment|30|Yes||
AR|OPLog|EventType|Overpayment moved to another customer|31|Yes||
AR|OPLog|EventType|Overpayment moved from another customer|32|Yes||
AR|OPLog|EventType|Overpayment moved to another ITG|33|Yes||
AR|OPLog|EventType|Overpayment moved from another ITG|34|Yes||
AR|OPLog|EventType|Credit note (deduction also credited)|4|Yes||
AR|OPLog|EventType|Overpayment used as payment into an invoice|5|Yes||
AR|OPLog|EventType|Return of overpayment|6|Yes||
AR|OPLog|EventType|Return of overpayment to customer|61|Yes||
AR|OPLog|EventType|Return of overpayment to AR|62|Yes||
AR|OPLog|EventType|Removal of erroneous overpayment|63|Yes||
AR|OPLog|EventType|Fixing erroneous usage|7|Yes||
AR|OPLog|EventType|Deleted payment with overpayment|8|Yes||
AR|OPLog|EventType|Missing sum from a payment|9|Yes||
AccRec|Payment|DDError|No funds or not current|1|Yes||
AccRec|Payment|DDError|Cancelled account or no direct debit order|2|Yes||
AccRec|Payment|DDError|Office of the direct debit order does not exist|3|Yes||
AccRec|Payment|DDError|Application of the R.D.338/90 on the NIF|4|Yes||
AccRec|Payment|DDError|On behalf of the client: error or cancellation|5|Yes||
AccRec|Payment|DDError|On behalf of the client: discontent with amount|6|Yes||
AccRec|Payment|DDError|Duplicated, wrong, mistaken or lack of data entry|7|Yes||
AccRec|Payment|DDError|Not used|8|Yes||
AccRec|Payment|DDError|Not used|9|Yes||
AccRec|Payment|PaymSrc|Adv.payment or Deposit|AD|No ||
AccRec|Payment|PaymSrc|AKF|AK|No ||
AccRec|Payment|PaymSrc|Refund from advance payment|APRF|No ||
AccRec|Payment|PaymSrc|TopUp payment|ATM|No ||
AccRec|Payment|PaymSrc|Billing run|BR|Yes||
AccRec|Payment|PaymSrc|Current Device Compensation|CDC|Yes||
AccRec|Payment|PaymSrc|Prepaid charge|CHARGE|No ||
AccRec|Payment|PaymSrc|Credit loss|CL|No ||
AccRec|Payment|PaymSrc|Commission|COMM|No ||
AccRec|Payment|PaymSrc|Prepaid Compensation|COMP|No ||
AccRec|Payment|PaymSrc|Credit note|CR|Yes||
AccRec|Payment|PaymSrc|Refund from Credit note|CRRF|No ||
AccRec|Payment|PaymSrc|Direct Debit|DD|No ||
AccRec|Payment|PaymSrc|Direct Debit rejection|DDRET|No ||
AccRec|Payment|PaymSrc|From file, Bank transfer|FBTC|No ||
AccRec|Payment|PaymSrc|From file, Bank transfer (NOT confirmed)|FBTNC|No ||
AccRec|Payment|PaymSrc|From file, Credit card (confirmed)|FCCC|No ||
AccRec|Payment|PaymSrc|From file, Credit card (NOT confirmed)|FCCNC|No ||
AccRec|Payment|PaymSrc|Intrum|IN|Yes||
AccRec|Payment|PaymSrc|Payment booking based on credit note|IN50|Yes||
AccRec|Payment|PaymSrc|Payments to other account|IN51|Yes||
AccRec|Payment|PaymSrc|Payment to DNA bank account|IN54|Yes||
AccRec|Payment|PaymSrc|Payments received via debt collection|IN60|Yes||
AccRec|Payment|PaymSrc|Credit loss|IN63|Yes||
AccRec|Payment|PaymSrc|Payment based on debt collection payment file|IN77|Yes||
AccRec|Payment|PaymSrc|Intrum payments to credit loss|IN98|Yes||
AccRec|Payment|PaymSrc|Overpayment booking by Intrum|IN99|Yes||
AccRec|Payment|PaymSrc|Intrum debt collection|INJ|Yes||
AccRec|Payment|PaymSrc|Intial TopUp|IT|No ||
AccRec|Payment|PaymSrc|Minus adjustment to Campaign Top Up|MACAMP|No ||
AccRec|Payment|PaymSrc|Manual Minus Adjustment payment|MAMANFIX|No ||
AccRec|Payment|PaymSrc|Manual payment event creation|MANFIX|No ||
AccRec|Payment|PaymSrc|Minus adjustment to own usage Top up|MAOU|No ||
AccRec|Payment|PaymSrc|Minus Adjustment to Price Quarantee balance|MAPQ|No ||
AccRec|Payment|PaymSrc|Manual payment event creation to campaign|MCAMFIX|No ||
AccRec|Payment|PaymSrc|Failed Minumum consumption charge|MCNOC|No ||
AccRec|Payment|PaymSrc|Pre paid minimum consumption|MINCONS|No ||
AccRec|Payment|PaymSrc|Manual payment|MP|Yes||
AccRec|Payment|PaymSrc|Rejected payment - credit note|MP50|Yes||
AccRec|Payment|PaymSrc|Rejected payment booking - other account|MP51|Yes||
AccRec|Payment|PaymSrc|Rejected payment booking - DNA bank account|MP54|Yes||
AccRec|Payment|PaymSrc|Rejected payment booking - Debt collection via AR|MP60|Yes||
AccRec|Payment|PaymSrc|Rejected payment booking - Credit loss|MP63|Yes||
AccRec|Payment|PaymSrc|Rejected payment booking - Payment to debt collect|MP77|Yes||
AccRec|Payment|PaymSrc|Manual payments to credit loss|MP98|Yes||
AccRec|Payment|PaymSrc|Rejected payment booking - Overpayment|MP99|Yes||
AccRec|Payment|PaymSrc|Manual payment booking requested by DNA|MPDNA|Yes||
AccRec|Payment|PaymSrc|Manual booking fix|MPFIX|Yes||
AccRec|Payment|PaymSrc|Manual Initial Top up|MPIT|No ||
AccRec|Payment|PaymSrc|Manual Pre paid own usage Top up|MPOU|No ||
AccRec|Payment|PaymSrc|Manual Price quarantee recharge|MPPQ|No ||
AccRec|Payment|PaymSrc|Overpayment return to AR|OPAR|Yes||
AccRec|Payment|PaymSrc|Manual overpayment fix|OPFIX|Yes||
AccRec|Payment|PaymSrc|Overpayment booking to invoice in RBS|OPINV|Yes||
AccRec|Payment|PaymSrc|Refund payment to customer from overpayment|OPRF|Yes||
AccRec|Payment|PaymSrc|Prepaid Automatic Minus Adjustment|PAMA|No ||
AccRec|Payment|PaymSrc|Periodical contract|PC|Yes||
AccRec|Payment|PaymSrc|Part payment contract|PPC|Yes||
AccRec|Payment|PaymSrc|Price quarantee|PQ|No ||
AccRec|Payment|PaymSrc|Prepaid Campaign Top Up|PRCAMP|No ||
AccRec|Payment|PaymSrc|Pre paid own usage Top Up|PROU|No ||
AccRec|Payment|PaymSrc|Prepaid User interface Minus Adjustment|PUMA|No ||
AccRec|Payment|PaymSrc|Qvantel script|QS|Yes||
AccRec|Payment|PaymSrc|From unreg. to balance (RF)|RB|No ||
AccRec|Payment|PaymSrc|Reference file|RF|No ||
AccRec|Payment|PaymSrc|Refund payment|RFUND|No ||
AccRec|Payment|PaymSrc|Ref. to payment plan|RL|No ||
AccRec|Payment|PaymSrc|Refund|RP|No ||
AccRec|Payment|PaymSrc|From unreg. to balance (TT)|TB|No ||
AccRec|Payment|PaymSrc|Bank statement (TITO)|TT|No ||
AccRec|Payment|PaymType|Normal|0|Yes||
AccRec|Payment|PaymType|Credit loss|1|Yes||
AccRec|Payment|PaymType|Prepaid compensation|10|No ||
AccRec|Payment|PaymType|Own usage|11|Yes||
AccRec|Payment|PaymType|Pre paid minimum consumption|12|No ||
AccRec|Payment|PaymType|Prepaid charge|13|No ||
AccRec|Payment|PaymType|Test invoice payment|14|Yes||
AccRec|Payment|PaymType|Payment to credit loss invoice|2|Yes||
AccRec|Payment|PaymType|Upfront|20|Yes||
AccRec|Payment|PaymType|Deposit|3|No ||
AccRec|Payment|PaymType|Advance Payment|4|No ||
AccRec|Payment|PaymType|Credit|5|Yes||
AccRec|Payment|PaymType|Refund|6|No ||
AccRec|Payment|PaymType|TopUp payment|7|No ||
AccRec|Payment|PaymType|Direct Debit|8|No ||
AccRec|Payment|PaymType|Initial TopUp|9|No ||
AccRec|Payment|VoucherType|Normal|1|Yes||
AccRec|Payment|VoucherType|TopUp|2|Yes||
Report|PaymJournal|BasePeriod|Booking date used as period base|Booking date|Yes||
Report|PaymJournal|BasePeriod|Creation date used as period base|Creation date|Yes||
Report|PaymJournal|BasePeriod|Payment date used as period base|Payment date|Yes||
AccRec|PaymPlan|PPStatus|Created|1|Yes||
AccRec|PaymPlan|PPStatus|Sent to customer|2|Yes||
AccRec|PaymPlan|PPStatus|Accepted|3|Yes||
AccRec|PaymPlan|PPStatus|Cancelled|4|Yes||
AccRec|PaymPlan|PPStatus|Paid (Closed)|5|Yes||
