Menu level|Menu place|Menu number|Menu label|Function name|Function code|Function type|Module|Program Class|Deny usage|Token code
157|8|8|RETURN |||3||9999|no|BILL
1576|8|8|RETURN |||3||9999|no|BILL
1577|1|1458|CALLITEM XML|Call Itemization XML (Bulk)|itemxml|1|Inv/call_itemization_ui.p|9999|no|BILL
1577|2|1462|CALLITEM PDF|Call Itemization PDF Creation|itempdf|1|Inv/call_itemization_xml2pdf_ui.p|9999|no|BILL
1577|4|1167|INTRUM XML LOG|Log File From Intrum XML File|intrlog|1|Inv/intrum_invoice_report_ui.p|9999|no|BILL
1577|5|9823|RESELLER ITEM XML|Reseller Itemization XML|res-xml|1|Inv/commission_itemization_ui.p|9999|no|BILL
1577|6|9824|RESELLER ITEM PDF|Reseller itemization XML to PDF|res-pdf|1|Inv/comm_itemization_xml2pdf_ui.p|9999|no|BILL
1577|8|8|RETURN |||3||9999|no|BILL
16|1|51|BASIC FILES|BASIC FILES OF ACCOUNTS RECEIVABLE|ar-bf|2||9999|no|AR
16|2|893|BROWSE FILES|BROWSERS FOR A/R FILES|ar-br|2||9999|no|AR
16|3|829|PAYMENTS |PAYMENTS|ar-pay|2||9999|no|AR
16|4|42|PRINT- OUTS|PRINTOUTS OF A/R|ar-pr|2||9999|no|AR
16|5|908|MAKE A CR. NOTE|Credit bill; create from an old bill|ar-cb|1|Ar/nncimu.p|9999|no|AR
16|6|1168|INTRUM UPDATES|Customer updates to Intrum|intrumup|1|Inv/intrum_updates_ui.p|9999|no|AR
16|7|895|COMMISS. |COMMISSION CALCULATIONS|ar-cc|2||9999|no|REM
16|8|8|RETURN |||3||9999|no|AR
161|1|828|CHANGE AN INV.|Invoice; change an existing invoice|ar-ci|1|Ar/nnlsyp.p|9999|no|AR
161|3|1649|BANK DATA|Bank Data|ar-ba|2||9999|no|AR
161|4|1719|VOUCHER NUMBER|Voucher number series|ar-vn|1|Ar/paymvouch.p|9999|yes|AR
161|5|1711|ACCOUNT. DATA|Accounting Data|ar-acc|2||9999|no|AR
161|6|1699|POSTING RULES|Posting Rules For Payments|paympost|1|Ar/paymconfig.p|9999|no|SYST
161|7|1553|ACCOUNT. RULES|Accounting Rules|acc-rule|1|Mc/ccrule_run.p|9999|no|AR
161|8|8|RETURN |||3||9999|no|AR
1613|1|9012|BANKS |Bank Listing|ar-bl|1|Mc/banklist.p|9999|no|AR
1613|3|1648|READ BANKDATA|Read Bank Data|ar-reb|1|Mc/bankdataui.p|9999|no|AR
1613|8|8|RETURN |||3||9999|no|AR
1615|1|975|ACCOUNTS |Account file|su-ac|1|Mc/nnacyp.p|9999|no|SYST
1615|2|1703|COST CENTRE|Cost Centres|ar-cc|1|Mc/ccentre.p|9999|no|SYST
1615|3|1091|TAX ZONES|Tax Zones|ar-tzone|1|Ar/taxzone.p|9999|no|SYST
1615|4|1092|TAX CLASSES|Tax Classes|ar-tclas|1|Ar/taxclass.p|9999|no|SYST
1615|5|1090|REGIONS |Regions|ar-reg|1|Ar/region.p|9999|no|SYST
1615|6|999|TAX CODES|Vat Codes|ar-vat|1|Mc/vatcode.p|9999|no|Syst
1615|7|1724|ACCOUNT. PERIODS|Accounting Periods|su-ap|1|Ar/accperiod.p|9999|no|SYST
1615|8|8|RETURN |||3||9999|no|AR
162|1|831|ALL INVOICES|Invoices, browse invoices and their paym|ar-bi|1|Ar/nnlaky.p|9999|no|AR
162|2|862|INTEREST EVENTS|Overtime interest file; browse|ar-int|1|Ar/inteventm.p|9999|no|AR
162|3|1798|SUMMARY OF UNPAI|Check total amount of all unpaid bills|ar-chk|1|Mc/nnlala.p|9999|no|AR
162|4|1008|UPD.OVER TIMEINT|Update overtime interest|otint|1|Ar/otint.p|9999|no|AR
162|5|1495|ALL PAYMENTS|Browse all payments|ar-allpa|1|Ar/paymentc.p|9999|no|AR
162|6|1492|CLAIMING |Claiming History|ar-clbr|1|Ar/claimhis2.p|9999|no|AR
162|8|8|RETURN |||3||9999|no|AR
163|1|850|MANUAL PAYMENTS|Payments into a/r, manual input|ar-pam|1|Ar/nnsusy.p|9999|no|AR
163|2|849|PAYMENT FILES|Payment Files|ar-file|2||9999|no|AR
163|3|1783|PAYMENT PLANS|Payment Plans|ar-pplan|2||9999|no|REM
163|4|129|OVERPAYM MAINT|Advance Payments and deposits|ar-pad|1|Ar/nndepo.p|9999|no|AR
163|5|1726|CREDIT LOSS|Credit loss payments|ar-clos|1|Ar/credloss.p|9999|no|AR
163|6|762|UNREGIST PAYMENTS|Unregist payments|ar-koh|1|Ar/unregpay.p|9999|no|REM
163|7|1496|CLAIMING |Claiming|ar-claim|2||9999|no|AR
163|8|8|RETURN |||3||9999|no|AR
1632|1|1804|PAYMENT CONFIG|OCR-configuration|ar-cfg|1|Ar/ocrcfg.p|9999|no|AR
1632|3|1793|READ PAYMENTS|Payments into a/r, input from OCR file|ar-pao|1|Ar/payment_reading_ui.p|9999|no|AR
1632|4|1249|READ INV STATUS|Read Invoice Status From Intrum|intrstat|1|Ar/intrum_status_ui.p|9999|no|AR
1632|5|1792|REFUND PAYMENTS|Refund Payments|ar-refu|1|Ar/refupick.p|9999|no|REM
1632|8|8|RETURN |||3||9999|no|AR
1633|1|1783|PAYMENT PLANS|Payment Plans|ar-pp|1|Ar/paymplam.p|9999|no|AR
1633|3|1064|CREDIT CONTROL|Payment Plans In Credit Control|ar-ppcr|1|Ar/ppcredctrl.p|9999|no|AR
1633|8|8|RETURN |||3||9999|no|AR
1637|1|1923|DEBT COLLECT.|Debt Collection|debtcoll|1|Ar/debtcollect_ui.p|9999|no|AR
1637|3|1019|CLAIMING |Lock / unlock subscriptions due to debt|ar-lock|1|Mm/mslockui.p|9999|yes|AR
1637|6|1251|AKF COLLECT.|Invoice collection file to Intrum|ar-inco|1|Ar/intrumli.p|9999|yes|AR
1637|7|1252|COLLECT. CANCEL|Backing file to Intrum|ar-inba|1|Ar/intrumsl.p|9999|yes|AR
1637|8|8|RETURN |||3||9999|no|AR
164|1|564|FOR BOOK KEEPING|A/R PRINTOUTS FOR BOOKKEEPING|ar-pbk|2||9999|no|AR
164|2|565|OTHER PRINTOUT|OTHER A/R PRINTOUTS|ar-pot|2||9999|no|AR
164|3|1761|CUSTOMER REPORT|Customer reports|ar-cus|2||9999|no|AR
164|4|1496|CLAIMING |CLAIMING REPORTS|ar-cla|2||9999|no|AR
164|5|1632|REVENUE |REVENUE REPORTS|ar-reven|2||9999|no|AR
164|6|1652|SALES |Sales Reports|ar-sales|2||9999|no|AR
164|8|8|RETURN |||3||9999|no|AR
1641|1|821|INVOICE JOURNAL|Invoice journal from a/r, printout|ar-pij|1|Ar/nnlalu.p|9999|no|AR
1641|2|822|BALANCE REPORT|Balance report from a/c, printout|ar-pbr|1|Ar/nnrelu.p|9999|no|AR
1641|3|823|PAYMENT JOURNAL|Payment journal from a/r, printout|ar-ppj|1|Ar/payment_journal_ui.p|9999|no|AR
1641|4|561|ACCOUNT SUMMARY|Account Summary, printout|ar-as|1|Ar/nnster.p|9999|no|AR
1641|5|582|LIST OF ADVP/DEP|List of Advence Payments and Deposits|ar-ad|1|Mc/nnadli.p|9999|no|AR
1641|6|1755|DEPOSIT INVOICES|Deposit Invoices|ar-depo|1|Inv/depoinv_f.p|9999|no|AR
1641|8|8|RETURN |||3||9999|no|AR
1642|1|824|AGE- ANALYSIS|Age analysis from a/r, printout|ar-paa|1|Ar/nnikaj.p|9999|no|AR
1642|2|825|PAYMENT FORECAST|Payment prognosis from a/r, printout|ar-ppp|1|Ar/nnkaen.p|9999|no|AR
1642|3|826|DUE INVOICES|Due invoices|ar-di|2||9999|no|AR
1642|4|940|CONTROL INV.JOUR|Control Invoice Journal|ctrl-ij|1|Ar/invjournal_ctrl.p|9999|no|AR
1642|5|762|UNREGIST PAYMENTS|Unregistered Payments Reports|ar-unr|2||9999|no|AR
1642|6|1717|BALANCES |Balance Summary|ar-bsum|1|Ar/arbalrel.p|9999|no|AR
1642|7|1733|PAYMENTS BY BANK|Payments by Bank|ar-bank|1|Ar/pbankrel.p|9999|no|AR
1642|8|8|RETURN |||3||9999|no|AR
16423|1|826|DUE INVOICES|Due invoices from a/r, printout|ar-pdi|1|Ar/nnerlu.p|9999|no|AR
16423|8|8|RETURN |||3||9999|no|AR
16425|1|764|UNREG. REPORTS|Unregistered payment report|ar-urr|1|Ar/unregrep.p|9999|no|AR
16425|8|8|RETURN |||3||9999|no|AR
1643|1|1819|INVG&CAT UPDATE|Customer Inv.Group and Category Update|ar-cicur|1|Ar/cust_invg_cat_update_report_ui.p|9999|no|AR
1643|2|1814|CURRENT BALANCES|Current Balances|ar-cbal|1|Ar/balrel.p|9999|no|AR
1643|3|1762|CUSTOMER BALANCES|Customer balances repot|ar-cbr|1|Ar/custbalrem.p|9999|no|AR
1643|4|1727|CUSTOMER OVERPAYM|Customers' Overpayments|ar-op|1|Ar/opbalrel.p|9999|no|AR
1643|8|8|RETURN |||3||0|no|AR
1644|1|1497|CREDIT LOSS INV|Credit loss invoices|ar-clinv|1|Ar/clinvrel.p|9999|no|AR
1644|2|1498|CLAIMING CANCELLE|Claim cancellation|ar-ccrep|1|Ar/ccinvrel.p|9999|no|AR
1644|8|8|RETURN |||3||9999|no|AR
1645|1|1712|REVENUE REPORT|Revenue Report|ar-rev|1|Ar/accdatll.p|9999|no|AR
1645|2|1633|AVERAGE REVENUE|AVERAGE REVENUE PER USER|ar-aver|1|Ar/arpurel.p|9999|no|AR
1645|3|1735|SUBSCR. REVENUE|Subscription Revenue|ar-subr|1|Mc/subsrel.p|9999|no|AR
1645|4|9833|NEW UNB.R|New unbilled revenue report|newubr|1|Inv/collect_unbilled_revenue_ui.p|9999|no|AR
1645|5|1241|BILLED REVENUE|Billed Revenue Report|billrev|1|Ar/billed_revenue_ui.p|9999|no|AR
1645|6|1242|UNBILLED REVENUE|Unbilled Revenue Report|unbrev|1|Ar/unbilled_revenue_ui.p|9999|no|AR
1645|7|2051|REVENUE JOURNAL|Revenue Journal|revjour|1|Ar/revenue_journal_ui.p|9999|no|AR
1645|8|8|RETURN |||3||0|no|AR
1646|1|1653|BI.GROUP SALES|Billing Item Group Sales|ar-bigs|1|Ar/bigroup_sales_ui.p|9999|no|AR
1646|2|1654|BILLED BILLITEM|Billed Billing Items|ar-bitem|1|Inv/billed_billitems_ui.p|9999|no|BILL
1646|8|8|RETURN |||3||9999|no|AR
166|1|1011|IMPORT DD.AUTH.|Import DD Authorizations|dd-im|1|Ar/nnsvlu.p|9999|no|CC
166|2|1012|UPDATE DD.AUTH.|Update DD Authorizations|dd-up|1|Ar/nnsvypm.p|9999|no|CC
166|3|52|FAILED DD AUTH.|Failed DD Authorizations|dd-fail|1|Ar/nnsvypmf.p|9999|no|AR
166|4|68|DD STAT. REPORT|DD Status Report|dd-rep|1|Ar/ddstatrel.p|9999|no|AR
166|5|1013|D.DEBIT FILE|Direct Debit File Creation|dd-fi|1|Inv/ddoutfileui.p|9999|no|BILL
166|8|8|RETURN |||3||9999|no|AR
167|5|1818|CREATE FAT|Create FAT From Events|cc-fat|1|Ar/cobalui.p|9999|no|COMM
167|7|51|BASIC FILES||cc-bas|2||9999|no|COMM
167|8|8|RETURN |||3||9999|no|AR
1674|1|1130|EVENT REPORT|Commission Report|cc-cp|1|Ar/copayrel.p|9999|no|AR
1674|3|1129|AC REPORT|AC Event Report|co-acr|1|Ar/coacrel.p|9999|no|COMM
1674|8|8|RETURN |||3||9999|no|COMM
1677|1|1036|CONTRACT |Contract Maintenance|cc-cont|1|Mc/contractm.p|9999|no|COMM
1677|2|952|RESELLER |Resellers|cc-rs|1|Mc/nnrsyp.p|9999|no|COMM
1677|3|756|SALESMEN |Salesmen|cc-sm|1|Mc/nnsmyp2.p|9999|no|COMM
1677|5|1037|CONTRACT REPORT|Contract Report|cu-crep|1|Mc/contrel.p|9999|no|AR
1677|8|8|RETURN |||3||9999|no|COMM
17|1|880|MISC. FILES|MISCELLANEOUS FILES|su-mf|2||9999|no|SYST
17|2|569|CALENDER SETTINGS|DIFFERENT TMS CALENDER SETTINGS|su-mr|2||9999|no|SYST
17|3|778|PRINT SETUP|PRINTERS AND PRINTOUTS|su-pr|2||9999|no|SYST
17|4|1127|LOGS |Logs|log|2||9999|no|SYST
17|5|881|RUN A PROGRAM|Run a program (by module name)|run|1|Syst/nnrun.p|9999|no|SYST
17|6|2200|USER RIGHTS|USER RIGHTS|su-ur|2||9999|no|SYST
17|7|2204|CHANGE PASSWORD|Change user password|su-pas|1|Syst/chpass.p|9999|no|MOB
17|8|8|RETURN |||3||9999|no|SYST
171|1|1993|DUMP CONFIG|Dumpfile Configuration|dump|1|Syst/dumpfile.p|9999|no|VENDOR
171|2|6912|REQUEST CONFIG|Request Configuration|req-conf|2||9999|no|SYST
171|3|751|HEADER TEXTS|Header text file update|su-he|1|Mc/nnteyp.p|9999|no|SYST
171|4|1552|SELECT. LISTS|Selection Lists|tmscodes|1|Syst/tmscodes.p|9999|no|VENDOR
171|5|1800|BRAND |Brands|brand|1|Syst/brand.p|9999|no|SYST
171|6|802|COMPANY DATA|Company data file update|su-co|1|Mc/nnyrit.p|9999|no|SYST
171|7|58|BANK ACCOUNTS|Bank Accounts|su-bank|1|Mc/bankacc.p|9999|no|SYST
171|8|8|RETURN |||3||9999|no|SYST
1712|1|6910|REQUEST TYPES|Request Types|req-type|1|Syst/reqtypem.p|9999|no|SYST
1712|2|6909|REQUEST QUEUES|Request Queues|rqueue|1|Syst/requestqueue.p|9999|no|SYST
1712|4|9809|REQ STAT FUNCTION|Request Status Functions|req-func|1|Syst/requestbrowser.p|9999|no|VENDOR
1712|8|8|RETURN |||3||9999|no|SYST
172|2|752|SPECIAL HOLIDAYS|Special holiday file update|su-sh|1|Mc/nnpyyp.p|9999|no|SYST
172|8|8|RETURN |||3||9999|no|SYST
1721|8|8|RETURN |||3||9999|no|SYST
1722|3|809|CUSTOMER LISTS|Customer lists|xor-cli|1|Mc/nnalky.p|9999|no|SYST
1722|8|8|RETURN |||3||9999|no|SYST
1725|8|8|RETURN |||3||9999|no|SYST
1727|8|8|RETURN |||3||9999|no|SYST
173|1|779|PRINTERS |Printer file update|printers|1|Syst/utukir.p|9999|no|SYST
173|2|780|PRINT- OUTS|Printout definition file update|su-pro|1|Syst/ututul.p|9999|no|SYST
173|4|985|PRINT HOUSE|Printhouse Configuration|pr-house|1|Mc/printhouseconf.p|9999|no|SYST
173|5|1205|REPORT CONFIG.|Report Configuration|repconf|1|Syst/reportconf.p|9999|no|VENDOR
173|8|8|RETURN |||3||9999|no|SYST
174|1|1752|EVENTLOG |Browse eventlog|su-ev|1|Mc/eventselm.p|9999|no|SYST
174|2|1125|ERROR LOG|Error Log|log-err|1|Mc/errorlogm.p|9999|no|SYST
174|3|1126|ACTION LOG|Action Log|log-act|1|Mc/actionlogm.p|9999|no|SYST
174|4|1745|SMS MESSAGES|ALARMS|mbi-alar|1|Mc/callalarm1.p|9999|no|mob
174|8|8|RETURN |||3||9999|no|SYST
176|1|2201|UPDATE TOKENS|Update tokens|su-to|1|Syst/token.p|9999|no|SYST
176|2|2202|TABLE TOKENS|Update Tabletokens|su-tt|1|Syst/tabletoken.p|9999|no|SYST
176|5|781|USERS |Update users|su-usr|1|Syst/ukayt.p|9999|no|SYST
176|6|546|USER GROUPS|User Groups, update|su-ugr|1|Syst/nnugro.p|9999|no|SYST
176|7|2204|CHANGE PASSWORD|Password Change Admin|pwadmin|1|Syst/pwadmin.p|9999|no|SYST
176|8|8|RETURN |||3||9999|no|SYST
3|1|2|CONTINUE ||-aspa|2||9999|no|cc
3|8|3|QUIT |||3||9999|no|CC
31|1|2204|CHANGE PASSWORD|CHANGE PASSWORD||1|Syst/chpass.p|9999|no|CC
31|3|1881|MOBILE DATA|MOBILE DATA||2||9999|no|cc
31|7|9042|SUPER USER|SUPER USER ACTIONS||2||9999|no|CCSUPER
31|8|3|QUIT |||3||9999|no|CC
313|2|710|CUSTOM- ERS|Customers||1|Mc/customerbr.p|9999|no|CCSUPER
313|3|259|MOBILE SUBSCRIP|Mobile Subscriptions||1|Mm/mobsuball.p|9999|no|MOB
313|4|2206|ORDERS |ORDERS||2||9999|no|cc
313|7|239|MOBILE SERVICE|MOBILE SERVICES||2||9999|no|CC
313|8|8|RETURN |||3||9999|no|cc
3134|5|2220|ORDER UNKNOWN|Browse unknown orders||1|Mc/order2.p|9999|no|CC
3134|6|2221|ORDER KNOWN|Orders Known||1|Mc/order34.p|9999|no|CC
3134|7|9045|ORDER HISTORY|All Orders||1|Mc/order34.p|9999|no|CC
3134|8|8|RETURN |||3||9999|no|CC
3137|1|9044|HLR LOG |HLR LOG||1|Mm/solog.p|9999|no|cc
3137|2|228|SIM CARDS|SIM Cards||1|Mm/simall.p|9999|no|cc
3137|8|8|RETURN |||3||9999|no|CC
317|1|229|MSISDN NUMBERS|MSISDN Numbers||1|Mm/msisdn.p|9999|no|VENDOR
317|3|1960|MOBSUB HISTORY|Mobile Subscription History||1|Mm/killedmobs.p|9999|no|CCSUPER
317|6|59|CLITYPE CHANGES|CLIType Change Request||1|Mm/msrequestm.p|9999|no|CCSUPER
317|8|8|RETURN |||3||9999|no|CCSUPER
